error_hybrid_syn,error_hybrid_phys,error_phys
0.041587926,0.016296279,0.016296279
0.041271895,0.016297303,0.016299706
0.04096709,0.016296038,0.016303234
0.0406448,0.016293371,0.016306866
0.040314212,0.016292239,0.016310599
0.04000557,0.01629119,0.016314434
0.039695267,0.016284887,0.016318383
0.03937545,0.016278502,0.01632244
0.039058812,0.016273277,0.01632661
0.038734496,0.016267663,0.016330896
0.03842416,0.016262963,0.016335301
0.038106944,0.016257549,0.016339824
0.037798103,0.01625291,0.01634448
0.03749614,0.01624777,0.016349258
0.03719727,0.016242025,0.016354173
0.036898203,0.016235948,0.016359223
0.036600646,0.016229982,0.016364409
0.036299735,0.016224282,0.01636974
0.035999943,0.016218709,0.016375216
0.035702966,0.016213177,0.016380847
0.03541225,0.016207142,0.01638663
0.03511831,0.016200788,0.016392568
0.034833543,0.016195156,0.016398668
0.03454432,0.01618917,0.016404944
0.03425612,0.016183883,0.01641138
0.03397277,0.016178671,0.016417997
0.033695307,0.016173298,0.016424788
0.033423077,0.016167944,0.01643176
0.03315252,0.016162407,0.01643892
0.032886237,0.016157161,0.016446266
0.032628857,0.016152129,0.016453808
0.03237033,0.016147,0.016461538
0.032123055,0.01614184,0.016469466
0.031884182,0.016136013,0.016477598
0.03165285,0.01612988,0.016485926
0.031430975,0.016123448,0.016494455
0.031217748,0.016116733,0.016503185
0.031011987,0.016109716,0.016512118
0.03081429,0.016101824,0.016521258
0.03062477,0.016093615,0.016530592
0.030434446,0.016084341,0.016540127
0.030251874,0.016074868,0.01654985
0.030074311,0.01606505,0.016559768
0.02990735,0.016055087,0.016569868
0.029744305,0.016044412,0.016580148
0.029588278,0.016033372,0.0165906
0.029446919,0.016021792,0.016601214
0.029311787,0.016009195,0.016611984
0.029197106,0.015996376,0.0166229
0.029087326,0.01598211,0.016633943
0.02899293,0.015967513,0.016645113
0.028909009,0.015951796,0.016656391
0.028835148,0.015935201,0.016667765
0.02876937,0.015918411,0.016679224
0.028711399,0.015900793,0.01669075
0.028666897,0.01588226,0.016702324
0.028633397,0.01586252,0.016713945
0.028603967,0.01584185,0.016725583
0.028586572,0.015820703,0.016737225
0.028584467,0.015798466,0.016748851
0.028592508,0.015775196,0.01676044
0.028613435,0.015750796,0.016771981
0.028643792,0.015725087,0.016783437
0.028687209,0.015698543,0.016794793
0.028741965,0.015670452,0.016806018
0.02880975,0.015641226,0.016817084
0.02888496,0.015610707,0.01682796
0.028971063,0.015579387,0.016838603
0.02906335,0.0155468555,0.016848974
0.029167622,0.015513608,0.016859038
0.02928335,0.015478704,0.01686874
0.029408101,0.015442525,0.016878026
0.029551994,0.015405235,0.016886834
0.029708907,0.015366304,0.0168951
0.029863944,0.015325824,0.016902754
0.03002039,0.015284236,0.016909719
0.030181263,0.015241368,0.0169159
0.03034535,0.015196945,0.016921218
0.030511195,0.01515108,0.01692557
0.030682178,0.015103534,0.016928853
0.030860249,0.01505365,0.016930966
0.031039942,0.0150016295,0.016931793
0.031230882,0.014947587,0.016931212
0.03142222,0.014891122,0.016929122
0.03161928,0.014832992,0.016925389
0.031821266,0.014772812,0.016919887
0.03203432,0.014710403,0.016912501
0.03225812,0.014645597,0.016903095
0.032475635,0.014578225,0.016891543
0.032692216,0.0145090595,0.016877713
0.03291317,0.014438118,0.016861469
0.03313527,0.014364777,0.016842676
0.033363108,0.014289644,0.016821196
0.033603046,0.01421192,0.016796893
0.033847716,0.014131695,0.016769616
0.034102887,0.014048617,0.016739227
0.034364983,0.013962612,0.01670558
0.034641985,0.013873914,0.01666852
0.03492944,0.01378274,0.016627908
0.035222072,0.013689013,0.016583586
0.035533126,0.0135925,0.0165354
0.03585012,0.013492462,0.016483184
0.036158316,0.013389869,0.01642678
0.036480043,0.013285133,0.016366009
0.036802277,0.01317753,0.016300691
0.037124857,0.013067423,0.016230632
