params_real,params_hybrid,params_phys
3.0,2.8456883,2.8393428
1.0,1.0656353,1.0644614
1.0,1.0456244,1.0560496
1.0,1.0,1.0
2.5,0.36013126,0.07688805
-2.0,-2.8721519,-3.6852958
-2.0,-1.3628722,-2.2562416
1.0,1.0,1.0
