params_hybrid,params_phys
0.90254354,0.8048899
1.4973048,1.5945401
-1.3946861,-1.4945074
1.0,1.0
1.0997239,1.1992086
-1.9011451,-1.8034582
-1.1995809,-1.2988781
1.0,1.0
